Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.6310912967629385,0.6159480403860551,0.9983274849965565,0.7618499424395615
Logistic Regression,0.7198488079085094,0.681809938338774,0.9863247302659627,0.8062730380001341
Decision Tree Classifier,0.6301608838922271,0.6153410813542193,0.998393073820221,0.7614045618247298
Gradient Boosting Classifier,0.6315758867997674,0.6162597676019272,0.9983274849965565,0.7620883453705675
KNeighbors Classifier,0.6494088001550689,0.6285063186244044,0.9949168661660053,0.7703617180655892
GaussianNB,0.704167474316728,0.7660250812170328,0.7191486570688355,0.7418470906630582
